1;Nazwa;Nazwa_IZFiA;Nazwa.2;Oplaty_biezace;Forma_prawna;TFI;Zarzadzajacy1;Od_kiedy1;Zarzadzajacy2;Od_kiedy2;Zarzadzajacy3;Od_kiedy3;Zarzadzajacy4;Od_kiedy4;Zarzadzajacy5;Od_kiedy5;Data_utworzenia;Pierwsza_wplata;Nastepna_wplata;Wycena;Aktywa;Lokalizacja;Profil;Benchmark;OZZ;OZN;OZU;OZW;TER;
NA;AGRO Zrównowa¿ony Lokacyjny Plus;;Amundi Subfundusz Stabilnego Wzrostu;2,95;FIO;AGRO;Marek G³ód;01.04.2017;;;;;;;;;10.04.2017;100;100;codziennie;0.4;zagraniczne;mieszane polskie;fundusz nie posiada benchmarku;2.75;2.5;0;0;0.5;
1008;Alior Agresywny;Alior Agresywny;Amundi Subfundusz Zrównowa¿ony;7,28;SFIO;Alior;Kamil Czapnik;01.07.2015;Fryderyk Krawczyk;01.04.2016;Maciej Byszkiewicz;01.05.2017;;;;;29.03.2010;200;100;codziennie;3.8;polskie;akcji ;90% WIG + 10% WIBID 3M;3;3;0;20;7.29;
1014;Alior Fundusz funduszy Strategia Aktywna;;Aviva Investors Obligacji Zamiennych;2,97;SFIO;Alior;Maciej Byszkiewicz;01.06.2017;Kamil Czapnik;01.06.2017;Fryderyk Krawczyk;01.06.2017;;;;;22.06.2017;200;100;codziennie;3.5;zagraniczne;mieszane ;fundusz nie posiada benchmarku;2.5;3;0;0;0;
1015;Alior Fundusz funduszy Strategia Dynamiczna;;;3,47;SFIO;Alior;Maciej Byszkiewicz;01.06.2017;Kamil Czapnik;01.06.2017;Fryderyk Krawczyk;01.06.2017;;;;;22.06.2017;200;100;codziennie;2.8;zagraniczne;akcji ;fundusz nie posiada benchmarku;3;3;0;0;0;
1016;Alior Fundusz funduszy Strategia Ostro¿na;;;2,06;SFIO;Alior;Maciej Byszkiewicz;01.06.2017;Kamil Czapnik;01.06.2017;Fryderyk Krawczyk;01.06.2017;;;;;22.06.2017;200;100;codziennie;21.9;zagraniczne;mieszane ;fundusz nie posiada benchmarku;1.5;2;0;0;0.01;
1017;Alior Fundusz funduszy Strategia Rozwa¿na;;;2,43;SFIO;Alior;Maciej Byszkiewicz;01.06.2017;Kamil Czapnik;01.06.2017;Fryderyk Krawczyk;01.06.2017;;;;;22.06.2017;200;100;codziennie;16.5;zagraniczne;mieszane ;fundusz nie posiada benchmarku;2;2;0;0;0.01;
1009;Alior Multi Asset;Alior Multi Asset;;7,28;SFIO;Alior;Kamil Czapnik;01.07.2015;Fryderyk Krawczyk;01.04.2016;Maciej Byszkiewicz;01.05.2017;;;;;24.03.2009;200;100;codziennie;6.9;zagraniczne;mieszane polskie;fundusz nie posiada benchmarku;2.5;4;0;0;7.29;
1010;Alior Obligacji Œwiatowych;;;0,03;SFIO;Alior;Kamil Czapnik;01.08.2016;Fryderyk Krawczyk;01.08.2016;Maciej Byszkiewicz;01.05.2017;;;;;04.08.2016;200;100;codziennie;17.8;zagraniczne;d³u¿ne ;fundusz nie posiada benchmarku;1.2;0.3;0;20;0.6;
1011;Alior Papierów D³u¿nych;Alior Papierów D³u¿nych;;3,21;SFIO;Alior;Kamil Czapnik;01.07.2015;Fryderyk Krawczyk;01.04.2016;Maciej Byszkiewicz;01.05.2017;;;;;11.04.2013;200;100;codziennie;9;polskie;d³u¿ne ;fundusz nie posiada benchmarku;1.2;0.5;0;20;3.21;
1012;Alior Pieniê¿ny;Alior Pieniê¿ny;;1,00;SFIO;Alior;Kamil Czapnik;01.02.2016;Fryderyk Krawczyk;01.04.2016;Maciej Byszkiewicz;01.05.2017;;;;;24.02.2016;200;100;codziennie;58.9;polskie;gotówkowe i pieniê¿ne ;fundusz nie posiada benchmarku;0.6;0.3;0;20;1.43;
1013;Alior Stabilnych Spó³ek;Alior Stabilnych Spó³ek;;6,37;SFIO;Alior;Kamil Czapnik;01.07.2015;Fryderyk Krawczyk;01.04.2016;Maciej Byszkiewicz;01.05.2017;;;;;24.03.2009;200;100;codziennie;4.9;polskie;akcji ;90% WIG + 10% WIBID 3M;3;3;0;0;6.37;
1388;Allianz Akcji;subfundusz Allianz Akcji;;4,12;FIO;Allianz;Dariusz Kuœmider;01.06.2017;;;;;;;;;28.01.2004;200;50;codziennie;251.9;polskie;akcji ;95% WIG + 5% WIBID O/N;4;4;0;0;4.08;
1392;Allianz Akcji Globalnych;Subfundusz Allianz Akcji Globalnych;;3,35;FIO;Allianz;Grzegorz Pra¿mo;01.01.2016;;;;;;;;;09.01.2014;200;50;codziennie;22.2;zagraniczne;akcji ;40% S&P 500 Index + 35% MSCI Europe Index + 15% MSCI EM Index + 10% WIBID O/N;3;4;0;0;3.35;
1394;Allianz Akcji Ma³ych i Œrednich Spó³ek;subfundusz Allianz Akcji Ma³ych i Œrednich Spó³ek;;4,15;FIO;Allianz;Adam £ukojæ;01.01.2017;;;;;;;;;21.11.2007;200;50;codziennie;164.5;polskie;akcji ;70% mWIG40 + 20% sWIG80 + 10% WIBID O/N;4;4;0;0;4.13;
1436;Allianz Akcji Rynków Wschodz¹cych;;;2,75;SFIO;Allianz;Artur Jusiñski;01.07.2017;Grzegorz Pra¿mo;01.07.2017;;;;;;;14.05.2013;500;100;codziennie;6.8;zagraniczne;akcji ;90% MSCI Emerging Markets Total Return (Net) + 10% WIBID O/N;2.5;4;0;10;5.9;
1398;Allianz Aktywnej Alokacji;subfundusz Allianz Aktywnej Alokacji;;3,89;FIO;Allianz;Marek Kuczalski;01.06.2017;Dariusz Kuœmider;01.06.2017;;;;;;;16.12.2005;200;50;codziennie;135.2;zagraniczne;mieszane polskie;100% WIBID 12M;3.75;3;0;0;3.88;
1441;Allianz Artificial Intelligence;;;1,77;SFIO;Allianz;Grzegorz Pra¿mo;01.10.2017;Artur Jusiñski;01.10.2017;;;;;;;10.06.2016;500;100;codziennie;21.7;zagraniczne;akcji ;90% NASDAQ Composite Index + 10% WIBID O/N;2.5;4;0;0;;
1433;Allianz Defensywna Multistrategia;Subfundusz Allianz Defensywna Multistrategia;;1,65;SFIO;Allianz;Grzegorz Pra¿mo;01.01.2016;Artur Jusiñski;01.01.2016;;;;;;;18.01.2016;500;100;codziennie;2.6;zagraniczne;mieszane ;90% (15% MSCI World Total Return (Net) + 85% Barclays Capital Euro-Aggregate Bond Index) + 10% WIBID O/N;1.5;2.5;0;0;1.65;
1434;Allianz Dynamiczna Multistrategia;Subfundusz Allianz Dynamiczna Multistrategia;;2,77;SFIO;Allianz;Grzegorz Pra¿mo;01.01.2016;Artur Jusiñski;01.01.2016;;;;;;;18.01.2016;500;100;codziennie;7;zagraniczne;mieszane ;90% (75% MSCI World Total Return (Net) + 25% Barclays Capital Euro-Aggregate Bond Index) + 10% WIBID O/N;2.5;4;0;0;2.77;
1439;Allianz Dywidendowy Akcji Europejskich;Subfundusz Allianz Dywidendowy Akcji Europejskich;;2,78;SFIO;Allianz;Grzegorz Pra¿mo;01.01.2016;Artur Jusiñski;01.01.2016;;;;;;;18.01.2016;500;100;codziennie;4.7;zagraniczne;akcji ;90% MSCI Europe Total Return (Net) + 10% WIBID O/N;2.5;4;0;0;2.77;
1440;Allianz Europe Equity Growth Select;Subfundusz Allianz Europe Equity Growth Select;;2,75;SFIO;Allianz;Grzegorz Pra¿mo;01.06.2016;Artur Jusiñski;01.06.2016;;;;;;;10.06.2016;500;100;codziennie;13.5;zagraniczne;akcji ;90% S&P Europe Large Cap Growth Net Total Return + 10% WIBID O/N;2.5;4;0;0;2.75;
1402;Allianz Globalny Stabilnego Dochodu;Subfundusz Allianz Globalny Stabilnego Dochodu;;2,25;FIO;Allianz;Grzegorz Pra¿mo;01.01.2016;;;;;;;;;15.10.2015;200;50;codziennie;58.5;zagraniczne;mieszane ;20% MSCI World Index + 55% Barclays Global Aggregate Total Return Index EUR Hedged + 25% WIBID O/N;2;3;0;0;2.25;
1442;Allianz Global Metals and Mining;;;2,73;SFIO;Allianz;Grzegorz Pra¿mo;01.06.2016;Artur Jusiñski;01.06.2016;;;;;;;10.06.2016;500;100;codziennie;17.6;zagraniczne;rynku surowców;100% Euromoney Global Mining Net Total Return;2.5;4;0;0;2.72;
1443;Allianz India Equity;Subfundusz Allianz India Equity;;2,78;SFIO;Allianz;Grzegorz Pra¿mo;01.06.2016;Artur Jusiñski;01.06.2016;;;;;;;20.06.2016;500;100;codziennie;9.3;zagraniczne;akcji ;90% MSCI India Total Return (Net) + 10% WIBID O/N;2.5;4;0;0;2.77;
1444;Allianz Ma³ych Spó³ek Europejskich;Subfundusz Allianz Ma³ych Spó³ek Europejskich;;2,84;SFIO;Allianz;Artur Jusiñski;01.06.2016;Grzegorz Pra¿mo;01.06.2016;;;;;;;18.01.2016;500;100;codziennie;12.2;zagraniczne;akcji ;90% MSCI Europe Small Cap Total Return (Net) + 10% WIBID O/N;2.5;4;0;0;2.84;
1405;Allianz Obligacji Globalnych;Subfundusz Allianz Obligacji Globalnych;;1,77;FIO;Allianz;Grzegorz Pra¿mo;01.01.2016;;;;;;;;;09.01.2014;200;50;codziennie;28.6;zagraniczne;d³u¿ne ;30% Barclays Global Aggregate Corporate TR Hedged EUR + 25% Barclays Global Aggregate TR Hedged EUR + 15% Markit iBoxx Global Developed Liquid High Yield (EUR Hedged) TR Capped + 10% J.P. Morgan EMBIG Hedged Euro + 20% WIBID O/N;1.5;2;0;0;1.61;
1409;Allianz Obligacji Plus;subfundusz Allianz Obligacji Plus;;1,62;FIO;Allianz;Marek Kuczalski;01.08.2014;;;;;;;;;28.01.2004;200;50;codziennie;231.3;polskie;d³u¿ne ;100% WIBID 3M + 50 pb;1.5;2;0;0;1.51;
1415;Allianz Pieniê¿ny;subfundusz Allianz Pieniê¿ny;;1,11;FIO;Allianz;Marek Kuczalski;01.12.2005;;;;;;;;;16.12.2005;200;50;codziennie;344;polskie;gotówkowe i pieniê¿ne ;100% WIBID 6M;1;0;0;0;1.01;
1445;Allianz PIMCO Emerging Local Bond;Allianz SFIO PIMCO Emerging Local Bond;;1,72;SFIO;Allianz;Artur Jusiñski;01.07.2016;Grzegorz Pra¿mo;01.07.2016;;;;;;;08.07.2016;500;100;codziennie;48.2;zagraniczne;d³u¿ne ;90% JPMorgan Government Bond Index-Emerging Markets Global Diversified Index (Unhedged) + 10% WIBID O/N;1.55;2.5;0;0;1.73;
1446;Allianz PIMCO Emerging Markets Bond;Allianz SFIO PIMCO Emerging Markets Bond;;1,70;SFIO;Allianz;Grzegorz Pra¿mo;01.07.2016;Artur Jusiñski;01.07.2016;;;;;;;08.07.2016;500;100;codziennie;75.1;zagraniczne;d³u¿ne ;90% JPMorgan EMBI Global (Euro Hedged) + 10% WIBID O/N;1.55;2.5;0;0;1.7;
1447;Allianz PIMCO Global Bond;Allianz SFIO PIMCO Global Bond;;1,70;SFIO;Allianz;Artur Jusiñski;01.07.2016;Grzegorz Pra¿mo;01.07.2016;;;;;;;08.07.2016;500;100;codziennie;9.9;zagraniczne;d³u¿ne ;90% Barclays Global Aggregate (Euro Hedged) Index + 10% WIBID O/N;1.05;2.5;0;0;1.7;
1448;Allianz PIMCO Global High Yield Bond;Allianz SFIO PIMCO Global High Yield Bond;;1,70;SFIO;Allianz;Artur Jusiñski;01.07.2016;Grzegorz Pra¿mo;01.07.2016;;;;;;;08.07.2016;500;100;codziennie;66.5;zagraniczne;d³u¿ne ;90% BofA Merrill Lynch BB-B Rated Developed Markets High Yield Constrained Index Hedged into EUR + 10% WIBID O/N;1.55;2.5;0;0;1.41;
1451;Allianz PIMCO Global Investment Grade Credit;Allianz SFIO PIMCO Global Investment Grade Credit;;1,72;SFIO;Allianz;Artur Jusiñski;01.07.2016;Grzegorz Pra¿mo;01.07.2016;;;;;;;08.07.2016;500;100;codziennie;8.5;zagraniczne;d³u¿ne ;90% Barclays Global Aggregate Credit Index (EUR Hedged) + 10% WIBID O/N;1.05;2.5;0;0;1.71;
1452;Allianz PIMCO Global Low Duration Real Return;Subfundusz PIMCO Global Low Duration Real Return;;1,70;SFIO;Allianz;Grzegorz Pra¿mo;01.06.2016;Artur Jusiñski;01.06.2016;;;;;;;20.06.2016;500;100;codziennie;4.8;zagraniczne;d³u¿ne ;90% Bloomberg Barclays World Government Inflation-Linked Bond 1-5 yrs Index (EUR Hedged) + 10% WIBID O/N;1.05;2.5;0;0;1.69;
1453;Allianz PIMCO Income;Allianz SFIO PIMCO Income;;1,72;SFIO;Allianz;Grzegorz Pra¿mo;01.07.2016;Artur Jusiñski;01.07.2016;;;;;;;08.07.2016;500;100;codziennie;320.8;zagraniczne;d³u¿ne ;90% Barclays U.S. Aggregate (Euro Hedged) Index + 10% WIBID O/N;1.55;2.5;0;0;1.72;
1418;Allianz Polskich Obligacji Skarbowych;subfundusz Allianz Polskich Obligacji Skarbowych;;1,65;FIO;Allianz;Marek Kuczalski;01.03.2011;;;;;;;;;16.12.2005;200;50;codziennie;99.1;polskie;d³u¿ne ;100% Citigroup Poland Government Index;1.5;1.5;0;0;1.65;
1422;Allianz Selektywny;subfundusz Allianz Selektywny;;4,16;FIO;Allianz;Dariusz Kuœmider;01.06.2017;;;;;;;;;21.11.2007;200;50;codziennie;93.2;polskie;akcji ;90% WIG + 10% WIBID O/N;4;4;0;0;4.15;
1426;Allianz Stabilnego Wzrostu;subfundusz Allianz Stabilnego Wzrostu;;3,62;FIO;Allianz;Adam £ukojæ;01.01.2017;Marek Kuczalski;01.06.2017;;;;;;;28.01.2004;200;50;codziennie;228.5;zagraniczne;mieszane polskie;70% Citigroup Poland Government Index + 30% WIG;3.5;3;0;0;3.55;
NA;Allianz Structured Return;;;1,11;SFIO;Allianz;Grzegorz Pra¿mo;01.12.2017;Artur Jusiñski;01.12.2017;;;;;;;20.06.2016;500;100;codziennie;17.6;zagraniczne;absolutnej stopy zwrotu;100% WIBID O/N;1;1.5;0;0;;
1430;Allianz Surowców i Energii;Subfundusz Allianz Surowców i Energii;;3,38;FIO;Allianz;Grzegorz Pra¿mo;01.02.2016;;;;;;;;;09.01.2014;200;50;codziennie;17.5;zagraniczne;rynku surowców;90% Bloomberg Commodity Index Total Return + 10% WIBID O/N;3;4;0;0;3.27;
1456;Allianz US Short Duration High Income Bond;Subfundusz US Short Duration High Income Bond;;1,65;SFIO;Allianz;Grzegorz Pra¿mo;01.06.2016;Artur Jusiñski;01.06.2016;;;;;;;20.06.2016;500;100;codziennie;68.6;zagraniczne;d³u¿ne ;100% WIBID 3M + 50 punktów bazowych;1.5;2.5;0;0;1.41;
1435;Allianz Zbalansowana Multistrategia;Subfundusz Allianz Zbalansowana Multistrategia;;2,18;SFIO;Allianz;Grzegorz Pra¿mo;01.01.2016;Artur Jusiñski;01.01.2016;;;;;;;18.01.2016;500;100;codziennie;4.6;zagraniczne;mieszane ;90% (50% MSCI World Total Return (Net) + 50% Barclays Capital Euro-Aggregate Bond Index) + 10% WIBID O/N;2;3.5;0;0;2.18;
1499;ALTUS Absolutnej Stopy Zwrotu D³u¿ny;Altus FIO Parasolowy Subfundusz Absolutnej Stopy Zwrotu D³u¿ny;;1,59;FIO;Altus;Witold Chuœæ;01.09.2012;Piotr Osiecki;01.09.2012;Andrzej Zydorowicz;01.09.2012;;;;;28.09.2012;1000;100;codziennie;467.8;zagraniczne;absolutnej stopy zwrotu;100% pó³torakrotnoœæ wskaŸnika WIBID 12M;1.5;2;0;20;3;
1501;ALTUS Absolutnej Stopy Zwrotu Nowej Europy;Altus FIO Parasolowy Subfundusz Absolutnej Stopy Zwrotu Nowej Europy;;4,04;FIO;Altus;Piotr Osiecki;01.04.2014;Andrzej Zydorowicz;01.04.2014;Witold Chuœæ;01.04.2014;;;;;14.04.2014;1000;100;codziennie;34.4;zagraniczne;absolutnej stopy zwrotu;100% dwukrotnoœæ wskaŸnika WIBID 12M;3.6;4;0;20;5.59;
1503;ALTUS Absolutnej Stopy Zwrotu Rynku Polskiego;Altus FIO Parasolowy Subfundusz Absolutnej Stopy Zwotu Rynku Polskiego;;3,83;FIO;Altus;Piotr Osiecki;01.09.2012;Andrzej Zydorowicz;01.09.2012;Witold Chuœæ;01.09.2012;;;;;28.09.2012;1000;100;codziennie;125.7;zagraniczne;absolutnej stopy zwrotu;100% dwukrotnoœæ wskaŸnika WIBID 12M;3.6;4;0;20;3.97;
1505;ALTUS Akcji;Altus FIO Parasolowy Subfundusz Akcji;;3,93;FIO;Altus;Piotr Osiecki;01.09.2012;Andrzej Zydorowicz;01.09.2012;Witold Chuœæ;01.09.2012;;;;;28.09.2012;1000;100;codziennie;30.6;polskie;akcji ;100% WIG;3.6;4;0;20;4.01;
1507;ALTUS Aktywnego Zarz¹dzania;Altus FIO Parasolowy Subfundusz Aktywnego Zarz¹dzania;;4,10;FIO;Altus;Witold Chuœæ;01.08.2013;Piotr Osiecki;01.08.2013;Andrzej Zydorowicz;01.08.2013;;;;;30.08.2013;1000;100;codziennie;9.1;zagraniczne;mieszane polskie;50% Merrill Lynch Polish Governments 1-4 Yrs + 50% WIG;3;3.25;0;20;4.13;
1509;ALTUS Optymalnego Wzrostu;Altus FIO Parasolowy Subfundusz Optymalnego Wzrostu;;3,93;FIO;Altus;Witold Chuœæ;01.04.2014;Piotr Osiecki;01.04.2014;Andrzej Zydorowicz;01.04.2014;;;;;14.04.2014;1000;100;codziennie;10.6;zagraniczne;absolutnej stopy zwrotu;100% pó³torakrotnoœæ wskaŸnika WIBID 12M;2.8;3;0;20;4;
1511;ALTUS Pieniê¿ny;Altus FIO Parasolowy Subfundusz Pieniê¿ny;;1,08;FIO;Altus;Witold Chuœæ;01.11.2013;;;;;;;;;22.11.2013;1000;100;codziennie;196.9;polskie;gotówkowe i pieniê¿ne ;100% WIBID 3M;0.95;0;0;20;1.42;
1512;ALTUS Short;Altus FIO Parasolowy Subfundusz Short;;5,40;FIO;Altus;Piotr Osiecki;01.09.2012;Witold Chuœæ;01.09.2012;Andrzej Zydorowicz;01.09.2012;;;;;28.09.2012;1000;100;codziennie;13.6;polskie;akcji ;100% WIG20 short;3.6;4;0;20;3.71;
1514;ALTUS Stabilnego Wzrostu;Altus FIO Parasolowy Subfundusz Stabilnego Wzrostu;;3,72;FIO;Altus;Piotr Osiecki;01.05.2013;Andrzej Zydorowicz;01.05.2013;Witold Chuœæ;01.05.2013;;;;;31.05.2013;1000;100;codziennie;12.4;zagraniczne;mieszane polskie;70% Merrill Lynch Polish Governments 1-4 Yrs + 30% WIG;2.8;3;0;20;3.73;
NA;ALTUS SuperLokator;;;1,00;FIO;Altus;Witold Chuœæ;01.06.2018;;;;;;;;;19.06.2018;1000;100;codziennie;0.1;polskie;gotówkowe i pieniê¿ne ;100% WIBID 3M;0;0;0;0;;
1460;Amundi Globalnych Perspektyw Dynamiczny;;;3,56;FIO;Amundi;Rafa³ Bogus³awski;01.01.2018;Hubert Kmiecik;01.01.2018;£ukasz Œliwka;01.01.2018;;;;;18.11.2014;500;100;codziennie;48.4;zagraniczne;mieszane ;fundusz nie posiada benchmarku;3;5;0;20;;
1463;Amundi Globalnych Perspektyw Konserwatywny;;;1,33;FIO;Amundi;Rafa³ Bogus³awski;01.01.2018;Hubert Kmiecik;01.01.2018;£ukasz Œliwka;01.01.2018;;;;;05.03.2014;500;100;codziennie;55.2;zagraniczne;mieszane ;fundusz nie posiada benchmarku;1;5;0;20;;
1465;Amundi Globalnych Perspektyw Umiarkowany 1;;;2,28;FIO;Amundi;Rafa³ Bogus³awski;01.01.2018;Hubert Kmiecik;01.01.2018;£ukasz Œliwka;01.01.2018;;;;;05.03.2014;500;100;codziennie;122.2;zagraniczne;mieszane ;fundusz nie posiada benchmarku;2;5;0;20;;
1462;Amundi Globalnych Perspektyw Umiarkowany;;;2,32;FIO;Amundi;Rafa³ Bogus³awski;01.01.2016;£ukasz Œliwka;01.03.2017;Hubert Kmiecik;01.11.2017;;;;;12.01.2016;500;100;codziennie;164.8;zagraniczne;mieszane ;fundusz nie posiada benchmarku;2;5;0;20;2.37;
1464;Amundi P³ynnoœciowy;Amundi Subfundusz P³ynnoœciowy;;0,72;FIO;Amundi;Rafa³ Bogus³awski;01.03.2014;£ukasz Œliwka;01.03.2017;Hubert Kmiecik;01.11.2017;;;;;05.03.2014;500;100;codziennie;927.9;polskie;gotówkowe i pieniê¿ne ;100% WIBOON;0.5;5;0;0;0.52;
6773;Arka BZ WBK Akcji Ma³ych i Œrednich Spó³ek;;;4,80;FIO;Arka BZ WBK;Jakub P³otka;01.11.2017;;;;;;;;;03.11.2017;1000;100;codziennie;86.3;polskie;akcji ;60% mWIG40 + 30% sWIG80 + 10% WIBID O/N;4;0;;0;;
1656;Arka BZ WBK Akcji Polskich;Arka BZ WBK Akcji Polskich Subfundusz;;4,02;FIO;Arka BZ WBK;Szymon Borawski-Reks;01.08.2009;;;;;;;;;02.04.1998;1000;100;codziennie;868.5;polskie;akcji ;95% WIG + 5% WIBID O/N;4;0;;0;3.7;
1662;Arka BZ WBK Akcji Œrodkowej i Wschodniej Europy;Arka BZ WBK Akcji Œrodkowej i Wschodniej Europy Subfundusz;;4,15;FIO;Arka BZ WBK;Jacek Grel;01.05.2015;;;;;;;;;27.12.2006;1000;100;codziennie;147.2;zagraniczne;akcji ;40% WIG + 25% BIST 100 + 15% ATX + 7,5% BUX + 7,5% PX + 5% WIBID O/N;4;0;;0;4.01;
1659;Arka BZ WBK Akcji Tureckich;Arka BZ WBK Akcji Tureckich Subfundusz;;4,23;FIO;Arka BZ WBK;Bartosz Dêbowski;01.05.2015;;;;;;;;;29.10.2007;1000;100;codziennie;88.9;zagraniczne;akcji ;90% BIST 100 + 10% WIBID O/N;4;0;;0;4.22;
1665;Arka BZ WBK Gotówkowy;Arka BZ WBK Gotówkowy Subfundusz;;1,00;FIO;Arka BZ WBK;Pawe³ Pisarczyk;01.12.2014;;;;;;;;;02.04.1998;1000;100;codziennie;2292.7;polskie;gotówkowe i pieniê¿ne ;100% WIBID 3M;1;0;;0;0.93;
1668;Arka BZ WBK Obligacji Europejskich;Arka BZ WBK Obligacji Europejskich Subfundusz;;1,64;FIO;Arka BZ WBK;Micha³ Ho³da;01.01.2016;;;;;;;;;18.08.2003;1000;100;codziennie;70.6;zagraniczne;d³u¿ne ;100% ICE BofAML 1-10 Year Euro Broad Market Index (EMU5) zabezpieczony do z³otego;1.6;0;;0;1.54;
1671;Arka BZ WBK Obligacji Korporacyjnych;Arka BZ WBK Obligacji Korporacyjnych Subfundusz;;1,90;FIO;Arka BZ WBK;Pawe³ Pisarczyk;01.12.2014;;;;;;;;;10.02.2012;1000;100;codziennie;3018.8;polskie;d³u¿ne ;100% WIBID 3M + 50 punktów bazowych;1.9;0;;0;1.78;
1674;Arka BZ WBK Obligacji Skarbowych;Arka BZ WBK Obligacji Skarbowych Subfundusz;;1,71;FIO;Arka BZ WBK;Micha³ Ho³da;01.01.2016;;;;;;;;;20.08.2002;1000;100;codziennie;922.8;polskie;d³u¿ne ;100% Merill Lynch Polish Governments;1.7;0;;0;1.66;
1686;Arka BZ WBK Stabilnego Wzrostu;Arka BZ WBK Stabilnego Wzrostu Subfundusz;;2,91;FIO;Arka BZ WBK;Micha³ Ho³da;01.01.2016;Bartosz Dêbowski;01.01.2017;;;;;;;25.11.1999;1000;100;codziennie;954.9;zagraniczne;mieszane polskie;33% WIG + 67% Merrill Lynch Polish Governments (G0PL);2.9;0;;0;2.54;
1689;Arka BZ WBK Zrównowa¿ony;Arka BZ WBK Zrównowa¿ony Subfundusz;;3,42;FIO;Arka BZ WBK;Pawe³ Pisarczyk;01.12.2014;Szymon Borawski-Reks;01.05.2015;;;;;;;02.04.1998;1000;100;codziennie;901.3;zagraniczne;mieszane polskie;55% WIG + 45% Merrill Lynch Polish Governments (G0PL);3.4;0;;0;3.13;
1677;Arka Platinum Dynamiczny;Arka Platinum Dynamiczny;;3,34;FIO;Arka BZ WBK;Jacek Grel;01.10.2014;;;;;;;;;27.12.2007;1000;100;codziennie;48.7;zagraniczne;mieszane ;60% MSCI All Countries World Index + 20% G0PL + 10% BofA ML Global Government Bond + 10% WIBID 3M.;2.8;0;;0;2.77;
