Lp;Nazwa_funduszu;Forma_prawna;Rok_uruchomienia;Jak_czesto_wycena_SFIO;Udzial_akcji;Oplata_za_zarzadzanie;TER;Oplaty_biezace;Typ;Pierwsza_wplata;Nastepna_wplata;Benchmark;Benchmark_2;Benchmark_3;Benchmark_4;Benchmark_5;Benchmark_6;Benchmark_7;Benchmark_8;Aktywa;Oplata_za_nabycie;Oplata_za_umorzenie;Oplata_za_wynik;Oplata_za_wynik_2;Polityka_inwestycyjna_(min._akcji);Inne;Inne_2;Inne_3;Nazwa_IZFiA;TFI
5;Allianz Akcji (Allianz FIO);FIO;2004;;85.01;4;4;4.1;akcji;200;50;95%WIG;5% WIBID O/N;;;;;;;285.1;4;0;;;70%;ozn spada do 0.75% przy 500 000;;;subfundusz Allianz Akcji;Allianz
6;Allianz Akcji Azjatyckich (Allianz SFIO);SFIO;2013;codziennie;0;2.5;2.59;2.57;akcji;500;100;90% MSCI AC Asia ex Japan Total Return (Net);10% WIBID O/N;;;;;;;4.1;4;0;10%;wzrostu w ci¹gu roku;67%;ozn spada do 0.75% przy 500 000;;;subfundusz Allianz Akcji Azjatyckich;Allianz
7;Allianz Akcji Globalnych (Allianz FIO);FIO;2014;;0;3;3.47;3.47;akcji;200;50;35% MSCI All Country;30% MSCI EM;30% MSCI Europe;5% WIBID O/N;;;;;20.5;4;0;;;40%;ozn spada do 1.25% przy 500 000;min. 60% w fundusze zagraniczne;;Subfundusz Allianz Akcji Globalnych;Allianz
8;Allianz Akcji Ma³ych i Œrednich Spó³ek (Allianz FIO);FIO;2007;;89.71;4;4.15;4.16;akcji;200;50;70%mWIG40;20%MiS80;10% WIBID O/N;;;;;;149;4;0;;;70%;ozn spada do 0.75% przy 500 000;;;subfundusz Allianz Akcji Ma³ych i Œrednich Spó³ek;Allianz
190;Allianz Aktywnej Alokacji (Allianz FIO);FIO;2005;;31.22;3.75;3.55;3.89;mieszane;200;50;100%WIBID12M;;;;;;;;144.1;3;0;;;max. 80%;ozn spada do 0.5% przy 500 000;;;subfundusz Allianz Aktywnej Alokacji;Allianz
191;Allianz Defensywna Multistrategia (Allianz SFIO);SFIO;2016;codziennie;0;1.5;1.75;1.86;mieszane;500;100;15% MSCI World Total Return (Net);85% Barclays Capital Euro-Aggregate Bond Index;10% WIBID O/N;;;;;;4.4;3;0;;;;ozn spada do 1.4% przy 500 000;min. 65% inwestycji w Allianz Dynamic Multi Asset Strategy 15;;Subfundusz Allianz Defensywna Multistrategia;Allianz
192;Allianz Dynamiczna Multistrategia (Allianz SFIO);SFIO;2016;codziennie;0;2.5;3.03;3.21;mieszane;500;100;75% MSCI World Total Return (Net);25% Barclays Capital Euro-Aggregate Bond Index;10% WIBID O/N;;;;;;5;4;0;;;;ozn spada do 0.75% przy 500 000;min. 65% inwestycji w Allianz Dynamic Multi Asset Strategy 75;;Subfundusz Allianz Dynamiczna Multistrategia;Allianz
9;Allianz Dywidendowy Akcji Europejskich (Allianz SFIO);SFIO;2016;codziennie;0;2.5;3.29;3.29;akcji;500;100;90% MSCI Europe Total Return (Net);10% WIBID O/N;;;;;;;5.8;4;0;;;;ozn spada do 0.75% przy 500 000;min. 65% inwestycji w Allianz European Equity Dividend;;Subfundusz Allianz Dywidendowy Akcji Europejskich;Allianz
10;Allianz Europe Equity Growth Select (Allianz SFIO);SFIO;2016;codziennie;0;2.5;1.41;2.56;akcji;500;100;90% S&P Europe Large Cap Growth Net Total Return;10% WIBID O/N;;;;;;;13.2;4;0;;;;ozn spada do 0.75% przy 500 000;min. 65% inwestycji w Allianz Europe Equity Growth Select;;Subfundusz Allianz Europe Equity Growth Select;Allianz
193;Allianz Flexi Asia Bond (Allianz SFIO);SFIO;2016;codziennie;;1.5;;1.81;d³u¿ne;500;100;45% Citigroup Asian Government Bond Investable Index;45% JP Morgan Asia Credit Index (JACI) Composite);10% WIBID O/N;;;;;;10.8;3;0;;;;ozn spada do 1.4% przy 500 000;min. 65% inwestycji w Allianz Flexi Asia Bond;max 70% d³u¿ne wysokodochodowe;NA;Allianz
194;Allianz Globalny Stabilnego Dochodu (Allianz FIO);FIO;2015;;0;2;2.59;2.59;mieszane;200;50;20% MSCI World Index;55% Barclays Global Aggregate Total Return Index EUR Hedged;25% WIBID O/N;;;;;;50.6;3;0;;;max. 40%;ozn spada do 0.5% przy 500 000;min. 60% papiery d³u¿ne;;Subfundusz Allianz Globalny Stabilnego Dochodu;Allianz
13;Allianz India Equity (Allianz SFIO);SFIO;2016;codziennie;0;2.5;0;0.72;akcji;500;100;90% MSCI India Total Return (Net);10% WIBID O/N;;;;;;;6.6;4;0;;;;ozn spada do 0.75% przy 500 000;min. 65% inwestycji w Allianz India Equity;;Subfundusz Allianz India Equity;Allianz
11;Allianz Ma³ych Spó³ek Europejskich (Allianz SFIO);SFIO;2016;codziennie;0;2.5;2.74;2.95;akcji;500;100;90% MSCI Europe Small Cap Total Return (Net);10% WIBID O/N;;;;;;;10.6;4;0;;;;ozn spada do 0.75% przy 500 000;min. 65% inwestycji w  Allianz Europe Small Cap Equity;;Subfundusz Allianz Ma³ych Spó³ek Europejskich;Allianz
195;Allianz Obligacji Globalnych (Allianz FIO);FIO;2014;;;1.5;1.56;1.74;d³u¿ne;200;50;30% Barclays Global Aggregate Corporate TR Hedged EUR;25% Barclays Global Aggregate TR Hedged EUR;15% Markit iBoxx Global Developed Liquid High Yield (EUR Hedged) TR Capped;10% J.P. Morgan EMBIG Hedged Euro;20% WIBID O/N;;;;22.2;1;0;;;;ozn spada do 0.2% przy 500 000;min. 60% w fundusze zagraniczne;;Subfundusz Allianz Obligacji Globalnych;Allianz
196;Allianz Obligacji Plus (Allianz FIO);FIO;2004;;;1.5;1.21;1.59;d³u¿ne;200;50;100% WIBID 3M;+ 0.5 pb;;;;;;;246.3;1;0;;;;ozn spada do 0.15% przy 500 000;max. 70% w instrumenty d³u¿ne;;subfundusz Allianz Obligacji Plus;Allianz
197;Allianz Pieniê¿ny (Allianz FIO);FIO;2005;;;1;0.97;1.07;pieniê¿ne;200;50;100% WIBID 6M;;;;;;;;343;0;0;;;;;max. 70% w inne fundusze;;subfundusz Allianz Pieniê¿ny;Allianz
198;Allianz Pieniê¿ny Globalny (Allianz SFIO);SFIO;2016;codziennie;;1;0.51;0.85;pieniê¿ne;500;100;100% WIBID 6M;;;;;;;;24.8;1;0;;;;ozn spada do 0.2% przy 500 000;min. 50% w instrumenty d³u¿ne;;Subfundusz Allianz Pieniê¿ny Globalny;Allianz
199;Allianz PIMCO Emerging Local Bond (Allianz SFIO);SFIO;2016;codziennie;;1.55;;2.8;d³u¿ne;500;100;90% JPMorgan Government Bond Index-Emerging Markets Global Diversified Index (Unhedged);10% WIBID O/N;;;;;;;22.3;3;0;;;;ozn spada do 1.4% przy 500 000;min. 60% w PIMCO Emerging Local Bond;;Allianz SFIO PIMCO Emerging Local Bond;Allianz
200;Allianz PIMCO Emerging Markets Bond (Allianz SFIO);SFIO;2016;codziennie;;1.55;;1.6;d³u¿ne;500;100;90% JPMorgan EMBI Global (Euro Hedged);10% WIBID O/N;;;;;;;28.6;3;0;;;;ozn spada do 1.4% przy 500 000;min. 60% w PIMCO Emerging Markets Bond;;Allianz SFIO PIMCO Emerging Markets Bond;Allianz
201;Allianz PIMCO Global Bond (Allianz SFIO);SFIO;2016;codziennie;;1.55;;2.4;d³u¿ne;500;100;90% Barclays Global Aggregate (Euro Hedged) Index;10% WIBID O/N;;;;;;;6.8;3;0;;;;ozn spada do 1.4% przy 500 000;min. 60% w PIMCO Global Bond;;Allianz SFIO PIMCO Global Bond;Allianz
202;Allianz PIMCO Global High Yield Bond (Allianz SFIO);SFIO;2016;codziennie;;1.55;;1.58;d³u¿ne;500;100;90% BofA Merrill Lynch BB-B Rated Developed Markets High Yield Constrained Index Hedged into EUR;10% WIBID O/N;;;;;;;72.3;3;0;;;;ozn spada do 1.4% przy 500 000;min. 60% w PIMCO Global High Yield Bond;;Allianz SFIO PIMCO Global High Yield Bond;Allianz
203;Allianz PIMCO Global Investment Grade Credit (Allianz SFIO);SFIO;2016;codziennie;;1.55;;1.49;d³u¿ne;500;100; 90% Barclays Global Aggregate Credit Index (EUR Hedged);10% WIBID O/N;;;;;;;6.3;3;0;;;;ozn spada do 1.4% przy 500 000;min. 60% w PIMCO Global Investment Grade Corporate Bond;;Allianz SFIO PIMCO Global Investment Grade Credit;Allianz
204;Allianz PIMCO Global Low Duration Real Return (Allianz SFIO);SFIO;2016;codziennie;;1.55;0.69;1.3;d³u¿ne;500;100;90% Bloomberg Barclays World Government Inflation-Linked Bond 1-5 yrs Index (EUR Hedged);10% WIBID O/N;;;;;;;15.5;3;0;;;;ozn spada do 1.4% przy 500 000;min. 60% w PIMCO Global Low Duration Real Return;;Subfundusz PIMCO Global Low Duration Real Return;Allianz
205;Allianz PIMCO Income (Allianz SFIO);SFIO;2016;codziennie;;1.55;;1.75;d³u¿ne;500;100;90% Barclays U.S. Aggregate (Euro Hedged) Index;10% WIBID O/N;;;;;;;97.4;3;0;;;;ozn spada do 1.4% przy 500 000;min. 60% w PIMCO Income;;Allianz SFIO PIMCO Income;Allianz
206;Allianz Polskich Obligacji Skarbowych (Allianz FIO);FIO;2005;;;1.5;1.63;1.64;d³u¿ne;200;50;100% Citigroup Poland Government Index;;;;;;;;104.9;1;0;;;;ozn spada do 0.2% przy 500 000;min. 70% w instrumenty d³u¿ne;;subfundusz Allianz Polskich Obligacji Skarbowych;Allianz
12;Allianz Selektywny (Allianz FIO);FIO;2011;;85.19;4;4.2;4.21;akcji;200;50;90%WIG;10% WIBID O/N;;;;;;;114.1;4;0;;;70%;ozn spada do 0.75% przy 500 000;;;subfundusz Allianz Selektywny;Allianz
207;Allianz Stabilnego Wzrostu (Allianz FIO);FIO;2004;;30.58;3.5;3.53;3.59;mieszane;200;50;70% Citigroup Poland Government Index;30%WIG;;;;;;;252.3;3;0;;;max. 40%;ozn spada do 0.5% przy 500 000;;;subfundusz Allianz Stabilnego Wzrostu;Allianz
208;Allianz Surowców i Energii (Allianz FIO);FIO;2014;;0;3;3.68;3.6;inne;200;50;90% Bloomberg Commodity Index Total Return;10% WIBID O/N;;;;;;;27.2;4;0;;;60%;ozn spada do 0.75% przy 500 000;;;Subfundusz Allianz Surowców i Energii;Allianz
14;Allianz US Equity (Allianz SFIO);SFIO;2016;codziennie;0;2.5;1.89;3.41;akcji;500;;;;;;;;;;;0;0;;;;;;;NA;Allianz
209;Allianz US Short Duration High Income Bond (Allianz SFIO);SFIO;2016;codziennie;;1.5;;1.06;d³u¿ne;500;100;90% Merril Lynch 1-3 Years BB-B US Cash Pay High Yield Index (USD);10% WIBID O/N;;;;;;;75.1;1;0;;;;ozn spada do 0.2% przy 500 000;min. 60% w Allianz US Short Duration High Income Bond;;Subfundusz US Short Duration High Income Bond;Allianz
210;Allianz Zbalansowana Multistrategia (Allianz SFIO);SFIO;2016;codziennie;0;2;;2.41;mieszane;500;100;45% MSCI World Total Return (Net);45% Barclays Capital Euro-Aggregate Bond Index;10% WIBID O/N;;;;;;4.6;4;0;;;;ozn spada do 1.4% przy 500 000;min. 65% w Allianz Dynamic Multi Asset Strategy 50;;Subfundusz Allianz Zbalansowana Multistrategia;Allianz
211;ALTUS Absolutnej Stopy Zwrotu D³u¿ny (FIO Parasolowy);FIO;2012;;0;1.5;1.64;1.53;absolutnej stopy zwrotu;1000;100;100% WIBID 12M x1.5;;;;;;;;470.6;2;0;20%;ponad benchmark;max. 30%;ozn spada do 0.2% przy 500 000;;;Altus FIO Parasolowy Subfundusz Absolutnej Stopy Zwrotu D³u¿ny;Altus
212;ALTUS Absolutnej Stopy Zwrotu Nowej Europy (FIO Parasolowy);FIO;2014;;22.88;2.8;4.1;3.88;absolutnej stopy zwrotu;1000;100;100% WIBID 12M x2;;;;;;;;56.8;4;0;20%;ponad benchmark;20%;ozn spada do 0.4% przy 500 000;;;Altus FIO Parasolowy Subfundusz Absolutnej Stopy Zwrotu Nowej Europy;Altus
213;ALTUS Absolutnej Stopy Zwrotu Rynku Polskiego (FIO Parasolowy);FIO;2012;;44.77;3.6;3.87;3.25;absolutnej stopy zwrotu;1000;100;100% WIBID 12M x2;;;;;;;;290.2;4;0;20%;ponad benchmark;20%;ozn spada do 0.4% przy 500 000;;;Altus FIO Parasolowy Subfundusz Absolutnej Stopy Zwotu Rynku Polskiego;Altus
15;ALTUS Akcji (FIO Parasolowy);FIO;2012;;80.99;3.6;4.07;3.3;akcji;1000;100;100% WIG;;;;;;;;53;4;0;20%;ponad benchmark;70%;ozn spada do 0.4% przy 500 000;;;Altus FIO Parasolowy Subfundusz Akcji;Altus
214;ALTUS Aktywnego Zarz¹dzania (FIO Parasolowy);FIO;2013;;34.7;3.25;4.48;3.71;mieszane;1000;100;50% Merrill Lynch Polish Governments 1-4 Yrs ;50% WIG;;;;;;;14.1;3;0;20%;ponad benchmark;max. 70%;ozn spada do 0.35% przy 500 000;;;Altus FIO Parasolowy Subfundusz Aktywnego Zarz¹dzania;Altus
215;ALTUS Optymalnego Wzrostu (FIO Parasolowy);FIO;2014;;26.68;2.8;3.49;3.02;absolutnej stopy zwrotu;1000;100;100% WIBID 12M x1.5;;;;;;;;19.6;3;0;20%;ponad benchmark;max. 40%;ozn spada do 0.3% przy 500 000;;;Altus FIO Parasolowy Subfundusz Optymalnego Wzrostu;Altus
216;ALTUS Pieniê¿ny (FIO Parasolowy);FIO;2013;;;0.95;1.13;1.08;pieniê¿ne;1000;100;100% WIBID 3M;;;;;;;;178.1;0;0;20%;ponad benchmark;;;;;Altus FIO Parasolowy Subfundusz Pieniê¿ny;Altus
16;ALTUS Short (FIO Parasolowy);FIO;2012;;;3.6;3.74;3.57;akcji;1000;100;100% WIG20 short;;;;;;;;9.3;4;0;20%;ponad benchmark;max. 20%;ozn spada do 0.4% przy 500 000;;;Altus FIO Parasolowy Subfundusz Short;Altus
17;Amundi Akcji Ma³ych i Œrednich Spó³ek (Amundi Parasolowy FIO);FIO;2014;;86.11;3.5;4.22;4.1;akcji;500;100;50% mWIG40;50% sWIG80;;;;;;;25.1;5;0;20%;ponad benchmark;66%;;;;Amundi Subfundusz Akcji Ma³ych i Œrednich Spó³ek;Amundi
18;Amundi Akcyjny (Amundi Parasolowy FIO);FIO;2014;;85.71;3.3;3.89;3.87;akcji;500;100;100% WIG;;;;;;;;23.4;5;0;20%;ponad benchmark;66%;;;;Amundi Subfundusz Akcyjny;Amundi
217;Amundi Globalnych Perspektyw (Amundi Parasolowy FIO);FIO;2016;;0;2;2.22;2.14;mieszane;500;100;nie ma;;;;;;;;111.2;5;0;20%;ponad EONIA + 5 p.p.;;d¹¿y do EONIA + 5 p.p.;;;Amundi Subfundusz Globalnych Perspektyw;Amundi
218;Amundi Obligacji (Amundi Parasolowy FIO);FIO;2014;;;1.2;1.49;1.5;d³u¿ne;500;100;100% Bloomberg Poland Local Sovereign Bond Index;;;;;;;;88.5;5;0;20%;ponad benchmark;;;;;Amundi Subfundusz Obligacji;Amundi
219;Amundi P³ynnoœciowy (Amundi Parasolowy FIO);FIO;2014;;;0.3;0.55;0.55;pieniê¿ne;500;100;100% WIBOON;;;;;;;;432.8;5;0;;;;;;;Amundi Subfundusz P³ynnoœciowy;Amundi
220;Amundi Stabilnego Wzrostu (Amundi Parasolowy FIO);FIO;2014;;36.13;2.25;2.59;2.54;mieszane;500;100;30% WIG;70% Bloomberg Poland Local Sovereign Index 1 to 5 Year;;;;;;;134.8;5;0;20%;ponad benchmark;10%;max. 50% akcji;;;Amundi Subfundusz Stabilnego Wzrostu;Amundi
221;Amundi Zrównowa¿ony (Amundi Parasolowy FIO);FIO;2014;;53.26;2.75;3.46;3.38;mieszane;500;100;50% WIG;50% Bloomberg Poland Local Sovereign Index 1 to 3 Year;;;;;;;23;5;0;20%;ponad benchmark;30%;max. 70% akcji;;;Amundi Subfundusz Zrównowa¿ony;Amundi
19;Arka BZ WBK Akcji Polskich (Arka BZ WBK FIO);FIO;1998;;86.12;4;3.78;4.03;akcji;1000;500;95% WIG;5% WIBID O/N;;;;;;;1159.9;3;1;;;66%;ozu 0-6 mcy;;;Arka BZ WBK Akcji Polskich Subfundusz;WBK
20;Arka BZ WBK Akcji Œrodkowej i Wschodniej Europy (Arka BZ WBK FIO);FIO;2006;;90.9;4;4.39;4.25;akcji;1000;500;95% MSCI Emerging Europe ex Russia + Austria Index ;5% WIBID O/N;;;;;;;181.4;3;1;;;50%;ozu 0-6 mcy;;;Arka BZ WBK Akcji Œrodkowej i Wschodniej Europy Subfundusz;WBK
21;Arka BZ WBK Akcji Tureckich (Arka BZ WBK FIO);FIO;2007;;85.56;4;4.57;4.27;akcji;1000;500;95% BIST 100 Index;;;;;;;;144;3;1;;;;ozu 0-6 mcy;;;Arka BZ WBK Akcji Tureckich Subfundusz;WBK
222;Arka BZ WBK Gotówkowy (Arka BZ WBK FIO);FIO;1998;;;1;0.93;1.01;pieniê¿ne;1000;500;100% WIBID 3M;;;;;;;;1725.9;3;1;;;;ozu 0-6 mcy;;;Arka BZ WBK Gotówkowy Subfundusz;WBK
223;Arka BZ WBK Obligacji Europejskich (Arka BZ WBK FIO);FIO;2003;;;1.6;1.54;1.65;d³u¿ne;1000;500;50% Merrill Lynch EMU Broad Market Index 1-10 Years ;50% LIBOR 3M;;;;;;;100.3;3;1;;;;ozu 0-6 mcy;;;Arka BZ WBK Obligacji Europejskich Subfundusz;WBK
224;Arka BZ WBK Obligacji Korporacyjnych (Arka BZ WBK FIO);FIO;2012;;;1.9;1.7;1.82;d³u¿ne;1000;500;100% WIBID 3M;+ 50 p.b.;;;;;;;2501.9;3;1;;;;ozu 0-6 mcy;;;Arka BZ WBK Obligacji Korporacyjnych Subfundusz;WBK
225;Arka BZ WBK Obligacji Skarbowych (Arka BZ WBK FIO);FIO;2016;;;1.7;1.65;1.71;d³u¿ne;1000;500;100% Merill Lynch Polish Governments;;;;;;;;968.1;3;1;;;;ozu 0-6 mcy;;;Arka BZ WBK Obligacji Skarbowych Subfundusz;WBK
226;Arka BZ WBK Stabilnego Wzrostu (Arka BZ WBK FIO);FIO;1999;;29.87;2.9;2.6;2.93;mieszane;1000;500;67% Merill Lynch Polish Governments;33% WIG;;;;;;;846;3;1;;;;ozu 0-6 mcy;;;Arka BZ WBK Stabilnego Wzrostu Subfundusz;WBK
227;Arka BZ WBK Zrównowa¿ony (Arka BZ WBK FIO);FIO;1998;;49.66;3.4;3.17;3.43;mieszane;1000;500;45% Merill Lynch Polish Governments;55% WIG;;;;;;;1030.3;3;1;;;30%;ozu 0-6 mcy;max. akcji 70%;;Arka BZ WBK Zrównowa¿ony Subfundusz;WBK
228;Arka Platinum Dynamiczny (Arka BZ WBK FIO);FIO;2007;;1.2;2.8;2.76;3.41;mieszane;1000;500;60% MSCI All Countries World Index;20% G0PL;10% BofA ML Global Government Bond;10% WIBID 3M;;;;;70.4;3;1;;;40%;ozu 0-6 mcy;max. akcji 70%;;Arka Platinum Dynamiczny;WBK
229;Arka Platinum Konserwatywny (Arka BZ WBK FIO);FIO;2012;;0;1.8;1.48;1.82;mieszane;1000;500;10% MSCI All Countries World Index;65% G0PL;15% BofA ML Global Government Bond;10% WIBID 3M;;;;;221.3;3;1;;;;ozu 0-6 mcy;max. akcji 20%;;Arka Platinum Konserwatywny;WBK
230;Arka Platinum Stabilny (Arka BZ WBK FIO);FIO;2006;;0.84;2.3;2.08;2.35;mieszane;1000;500;30% MSCI All Countries World Index;45% G0PL;15% BofA ML Global Government Bond;10% WIBID 3M;;;;;109.7;3;1;;;;ozu 0-6 mcy;max. akcji 40%;;Arka Platinum Stabilny;WBK
22;Arka Presti¿ Akcji Europejskich (Arka Presti¿ SFIO);SFIO;2016;codziennie;0;2.5;3.26;3.28;akcji;10000;1000;nie ma;;;;;;;;148.3;2;1;;;;70-100% w Santander AM Euro Equity;ozu 0-6 mcy;;Arka Presti¿ Akcji Europejskich;WBK
23;Arka Presti¿ Akcji Polskich (Arka Presti¿ SFIO);SFIO;2010;codziennie;89.53;3;3.04;3.02;akcji;10000;1000;100% WIG;;;;;;;;410.6;2;1;;;66%;ozu 0-6 mcy;;;Arka Presti¿ Akcji Polskich Subfundusz;WBK
24;Arka Presti¿ Akcji Œrodkowej i Wschodniej Europy (Arka Presti¿ SFIO);SFIO;2010;codziennie;91.77;3;4.45;3.39;akcji;10000;1000;40% BIST 100 (w EUR);35% ATX (w EUR);12,5% PX (w EUR);12,5% BUX (w EUR);;;;;40.1;2;1;;;66%;ozu 0-6 mcy;;;Arka Presti¿ Akcji Œrodkowej i Wschodniej Europy Subfundusz;WBK
25;Arka Presti¿ Europejskich Spó³ek Dywidendowych (Arka Presti¿ SFIO);SFIO;2016;codziennie;0;2.5;3.13;2.63;akcji;10000;1000;nie ma;;;;;;;;48.2;2;1;;;;70-100% w Santander European Dividend;ozu 0-6 mcy;;Arka Presti¿ Europejskich Spó³ek Dywidendowych;WBK
231;Arka Presti¿ Gotówkowy (Arka Presti¿ SFIO);SFIO;2013;codziennie;;0.8;0.97;0.95;pieniê¿ne;10000;1000;100% WIBID 3M;;;;;;;;336.8;2;1;;;;ozu 0-6 mcy;;;Arka Presti¿ Gotówkowy;WBK
232;Arka Presti¿ Obligacji Korporacyjnych (Arka Presti¿ SFIO);SFIO;2011;;;1.8;1.69;1.72;d³u¿ne;10000;1000;100% WIBID 3M;+ 100 p.b.;;;;;;;3511.4;2;1;;;;ozu 0-6 mcy;min. 80% w d³u¿ne;;Arka Presti¿ Obligacji Korporacyjnych Subfundusz;WBK
233;Arka Presti¿ Obligacji Skarbowych (Arka Presti¿ SFIO);SFIO;2016;;;1.5;1.5;1.51;d³u¿ne;10000;1000;100% Merill Lynch Polish Governments;;;;;;;;330;2;1;;;;ozu 0-6 mcy;min. 80% w d³u¿ne;;Arka Presti¿ Obligacji Skarbowych Subfundusz;WBK
26;Aviva Investors Akcji Europy Wschodz¹cej (Aviva Investors FIO);FIO;2008;;80.96;4;4.67;4.36;akcji;1000;100;nie ma;;;;;;;;10;5;0;;;60%;ozn spada do 0.4% przy 1 000 000;;;NA;Aviva
27;Aviva Investors Akcji Rynków Wschodz¹cych (Aviva Investors FIO);FIO;2011;;0;2;2.65;3.25;akcji;1000;100;nie ma;;;;;;;;11.2;5;0;;;;ozn spada do 0.4% przy 1 000 000;g³ównie fundusze zagraniczne Aviva;;NA;Aviva
234;Aviva Investors Aktywnej Alokacji (Aviva Investors FIO);FIO;2004;;0;2;2.23;2.05;mieszane;1000;100;nie ma;;;;;;;;129.7;1;0;10%;wzrostu w ci¹gu roku;;ozn spada do 0.1% przy 1 000 000;;;Aviva Investors FIO Aktywnej Alokacji;Aviva
235;Aviva Investors Depozyt Plus (Aviva Investors FIO);FIO;2002;;;1;1.01;1.01;pieniê¿ne;1000;100;100% Citigroup PLN 1 Month Eurodeposit Local Currency;;;;;;;;186.2;1;0;;;;ozn tylko do 5 000;;;Aviva Investors Depozyt Plus;Aviva
236;Aviva Investors D³u¿nych Papierów Korporacyjnych (Aviva Investors FIO);FIO;2011;;;1;1.15;1.02;d³u¿ne;1000;100;100% Citigroup PLN 1 Month Eurodeposit Local Currency;0.50%;;;;;;;1032;1;0;10%;wzrostu ponad Citigroup PLN 1 Month Eur Deposit Local Currency;;ozn tylko do 5 000;;;Aviva Investors D³u¿nych Papierów Korporacyjnych;Aviva
28;Aviva Investors Ma³ych Spó³ek (Aviva Investors FIO);FIO;2008;;80.73;4;4.02;4.03;akcji;1000;100;90% sWIG80;10% Citigroup PLN 1 Month Eurodeposit Local Currency;;;;;;;188.1;5;0;;;60%;ozn spada do 0.4% przy 1 000 000;;;Aviva Investors Ma³ych Spó³ek;Aviva
29;Aviva Investors Nowoczesnych Technologii (Aviva Investors FIO);FIO;2008;;66.27;4;4.13;4.04;akcji;1000;100;40% WIG;25% WIG Media;25% WIG Informatyka;10% Citigroup PLN 1 Month Eurodeposit Local Currency;;;;;171.8;5;0;;;60%;ozn spada do 0.4% przy 1 000 000;;;Aviva Investors Nowoczesnych Technologii;Aviva
30;Aviva Investors Nowych Spó³ek (Aviva Investors FIO);FIO;2008;;71.88;4;4.09;4.04;akcji;1000;100;90% WIG;10% Citigroup PLN 1 Month Eurodeposit Local Currency;;;;;;;141.2;5;0;;;60%;ozn spada do 0.4% przy 1 000 000;;;Aviva Investors Nowych Spó³ek;Aviva
237;Aviva Investors Obligacji (Aviva Investors FIO);FIO;2002;;;1.75;1.75;1.76;d³u¿ne;1000;100;80% Citigroup Poland Government Bond Index All Maturities Local;20% Citigroup PLN 1 Month Eurodeposit Local Currency;;;;;;;709.7;2;0;;;;ozn spada do 0.25% przy 1 000 000;min. 70% d³u¿nych;;Aviva Investors  Obligacji;Aviva
