Lp;Nazwa funduszu;Forma prawna;Zarz¹dzaj¹cy;Zarz¹dzaj¹cy od;;;;;;;;;;;Rok uruchomienia;Pierwsza wp³ata;Nastêpna wp³ata;Jak czêsto wycena SFIO;Aktywa;Typ;Benchmark;Benchmark_2;Benchmark_3;Benchmark_4;Benchmark_5;Benchmark_6;Benchmark_7;Benchmark_8;Polityka inwestycyjna (min. akcji);Udzia³ akcji;Op³ata za zarz¹dzanie;Op³ata za nabycie;Op³ata za umorzenie;Op³ata za wynik;Op³ata za wynik_2;TER;Op³aty bie¿¹ce;Inne;Inne_2;Inne_3;Nazwa IZFiA;TFI;
;AGRO Strategii Gie³dowych;FIO;Marek G³ód;4.2017;;;;;;;;;;;2017;100;100;codziennie;0.2;mieszane;nie ma;;;;;;;;30%;;0.05;4;0;0%;;0.99;3.49;;;;;Agro;
;AGRO Zrównowa¿ony Lokacyjny PLUS;FIO;Marek G³ód;4.2017;;;;;;;;;;;2017;100;100;codziennie;0.4;mieszane;nie ma;;;;;;;;;41.56;0.05;3;0;0%;;0.5;2.7;;;;;Agro;
;Alior Fundusz Funduszy Strategia Dynamiczna ;SFIO;Kamil Czapnik;7.2015;Fryderyk Krawczyk;4.2016;Maciej Byszkiewicz;;;5.2017;;;;;2017;200;100;codziennie;3.1;akcji;nie ma;;;;;;;;;;0.01;3;0;;;0;3.47;;;;;Alior;
;Alior Fundusz Funduszy Strategia Ostro¿na;SFIO;Kamil Czapnik;7.2015;Fryderyk Krawczyk;4.2016;Maciej Byszkiewicz;;;5.2017;;;;;2017;200;100;codziennie;22.1;mieszane;nie ma;;;;;;;;;;0.01;2;0;;;0.01;2.06;;;;;Alior;
;Alior Fundusz Funduszy Strategia Rozwa¿na;SFIO;Kamil Czapnik;7.2015;Fryderyk Krawczyk;4.2016;Maciej Byszkiewicz;;;5.2017;;;;;2017;200;100;codziennie;17;mieszane;nie ma;;;;;;;;;;0.01;2;0;;;0.01;2.43;;;;;Alior;
3;Alior Fundusz Funduszy Strategia Aktywna;SFIO;Kamil Czapnik;7.2015;Fryderyk Krawczyk;4.2016;Maciej Byszkiewicz;;;5.2017;;;;;2017;200;100;codziennie;3.9;mieszane;nie ma;;;;;;;;;;0.01;3;0;;;0;2.97;;;;;Alior;
3;Alior Agresywny;SFIO;Kamil Czapnik;7.2015;Fryderyk Krawczyk;4.2016;Maciej Byszkiewicz;;;5.2017;;;;;2010;200;100;codziennie;4.2;akcji;90%WIG;10% WIBID3M;;;;;;;;96.29;1;4;0;10%;ponad 20%;7.29;7.28;;;;;Alior;
187;Alior Multi Asset;SFIO;Kamil Czapnik;7.2015;Fryderyk Krawczyk;4.2016;Maciej Byszkiewicz;;;5.2017;;;;;2009;200;100;codziennie;7.1;mieszane;nie ma;;;;;;;;;38.26;1.2;4;0;;;7.29;7.28;;;;;Alior;
;Alior Papierów Obligacji Œwiatowych;SFIO;Kamil Czapnik;8.2016;Fryderyk Krawczyk;8.2016;Maciej Byszkiewicz;;;5.2017;;;;;2016;200;100;codziennie;17.4;d³u¿ne;nie ma;;;;;;;;;;0.01;2;0;20%;ponad 4.5%;0.6;0.03;;;;;Alior;
188;Alior Papierów D³u¿nych;SFIO;Kamil Czapnik;7.2015;Fryderyk Krawczyk;4.2016;Maciej Byszkiewicz;;;5.2017;;;;;2013;200;100;codziennie;9.3;d³u¿ne;nie ma;;;;;;;;;;0.01;0.5;0;20%;ponad 3.5%;3.21;3.21;;;;;Alior;
189;Alior Pieniê¿ny;SFIO;Kamil Czapnik;2.2016;Fryderyk Krawczyk;4.2016;Maciej Byszkiewicz;;;5.2017;;;;;2016;200;100;codziennie;57.2;pieniê¿ne;nie ma;;;;;;;;;;0.01;0.3;0;20%;pomad 2.5%;1.43;1;;;;;Alior;
4;Alior Stabilnych Spó³ek;SFIO;Kamil Czapnik;7.2015;Fryderyk Krawczyk;4.2016;Maciej Byszkiewicz;;;5.2017;;;;;2009;200;100;codziennie;5.3;akcji;90%WIG;10% WIBID3M;;;;;;;;95.03;1.2;4;0;;;6.37;6.37;;;;;Alior;
5;Allianz Akcji (Allianz FIO);FIO;Dawid Kuœmider;6.2017;;;;;;;;;;;2004;200;50;codziennie;260.2;akcji;95%WIG;5% WIBID O/N;;;;;;;70%;95.53;4;4;0;;;4.08;4.12;ozn spada do 0.75% przy 500 000;;;subfundusz Allianz Akcji;Allianz;
6;Allianz Akcji Azjatyckich (Allianz SFIO);SFIO;;;;;;;;;;;;;2013;500;100;codziennie;4.1;akcji;90% MSCI AC Asia ex Japan Total Return (Net);10% WIBID O/N;;;;;;;67%;0;2.5;4;0;10%;wzrostu w ci¹gu roku;2.59;2.57;ozn spada do 0.75% przy 500 000;;;subfundusz Allianz Akcji Azjatyckich;Allianz;
7;Allianz Akcji Globalnych (Allianz FIO);FIO;Grzegorz Pra¿mo;1.2016;;;;;;;;;;;2014;200;50;codziennie;21;akcji;40%S&P500;35%MSCI Europe;15% MSCI EM;10% WIBID O/N;;;;;40%;0;3;4;0;;;3.35;3.35;ozn spada do 1.25% przy 500 000;min. 60% w fundusze zagraniczne;;Subfundusz Allianz Akcji Globalnych;Allianz;
8;Allianz Akcji Ma³ych i Œrednich Spó³ek (Allianz FIO);FIO;Adam £ukojæ;1.2017;;;;;;;;;;;2007;200;50;codziennie;149.2;akcji;70%mWIG40;20%MiS80;10% WIBID O/N;;;;;;70%;89.71;4;4;0;;;4.13;4.15;ozn spada do 0.75% przy 500 000;;;subfundusz Allianz Akcji Ma³ych i Œrednich Spó³ek;Allianz;
190;Allianz Aktywnej Alokacji (Allianz FIO);FIO;Marek Kuczalski;6.2017;Dariusz Kuœmider;6.2017;;;;;;;;;2005;200;50;codziennie;138.1;mieszane;100%WIBID12M;;;;;;;;max. 80%;35.9;3.75;3;0;;;3.88;3.89;ozn spada do 0.5% przy 500 000;;;subfundusz Allianz Aktywnej Alokacji;Allianz;
;Allianz Akcji Rynków Wschodz¹cych;SFIO;Artur Jusiñski;7.2017;Grzegorz Pra¿mo;7.2017;;;;;;;;;2013;500;100;codziennie;7.5;akcji;90% MSCI Emerging Markets Total Return;10% WIBID O/N;;;;;;;max. 70%;31.22;2.5;4;0;10%;wzrostu w ci¹gu roku;5.9;2.75;ozn spada do 0.5% przy 500 000;;;subfundusz Allianz Aktywnej Alokacji;Allianz;
191;Allianz Defensywna Multistrategia (Allianz SFIO);SFIO;Grzegorz Pra¿mo;1.2016;Artur Jusiñski;1.2016;;;;;;;;;2016;500;100;codziennie;2.6;mieszane;15% MSCI World Total Return (Net);85% Barclays Capital Euro-Aggregate Bond Index;10% WIBID O/N;;;;;;;0;1.5;2.5;0;;;1.65;1.65;ozn spada do 1.4% przy 500 000;min. 65% inwestycji w Allianz Dynamic Multi Asset Strategy 15;;Subfundusz Allianz Defensywna Multistrategia;Allianz;
192;Allianz Dynamiczna Multistrategia (Allianz SFIO);SFIO;Grzegorz Pra¿mo;1.2016;Artur Jusiñski;1.2016;;;;;;;;;2016;500;100;codziennie;6.9;mieszane;75% MSCI World Total Return (Net);25% Barclays Capital Euro-Aggregate Bond Index;10% WIBID O/N;;;;;;;0;2.5;4;0;;;2.77;2.77;ozn spada do 0.75% przy 500 000;min. 65% inwestycji w Allianz Dynamic Multi Asset Strategy 75;;Subfundusz Allianz Dynamiczna Multistrategia;Allianz;
;Allianz Artificial Intelligence;SFIO;Grzegorz Pra¿mo;10.2017;Artur Jusiñski;10.2017;;;;;;;;;2016;500;100;codziennie;14.1;akcji;90% NASDAQ Composite Index;10% WIBID O/N;;;;;;;;0;2.4;4;0;;;NA;1.77;;;;;;
9;Allianz Dywidendowy Akcji Europejskich (Allianz SFIO);SFIO;Grzegorz Pra¿mo;1.2016;Artur Jusiñski;1.2016;;;;;;;;;2016;500;100;codziennie;9.7;akcji;90% MSCI Europe Total Return (Net);10% WIBID O/N;;;;;;;;0;2.5;4;0;;;2.77;2.78;ozn spada do 0.75% przy 500 000;min. 65% inwestycji w Allianz European Equity Dividend;;Subfundusz Allianz Dywidendowy Akcji Europejskich;Allianz;
10;Allianz Europe Equity Growth Select (Allianz SFIO);SFIO;Grzegorz Pra¿mo;6.2016;Artur Jusiñski;6.2016;;;;;;;;;2016;500;100;codziennie;13;akcji;90% S&P Europe Large Cap Growth Net Total Return;10% WIBID O/N;;;;;;;;0;2.5;4;0;;;2.75;2.75;ozn spada do 0.75% przy 500 000;min. 65% inwestycji w Allianz Europe Equity Growth Select;;Subfundusz Allianz Europe Equity Growth Select;Allianz;
193;Allianz Flexi Asia Bond (Allianz SFIO);SFIO;;;;;;;;;;;;;2016;500;100;codziennie;10.8;d³u¿ne;45% Citigroup Asian Government Bond Investable Index;45% JP Morgan Asia Credit Index (JACI) Composite);10% WIBID O/N;;;;;;;;1.5;3;0;;;;1.81;ozn spada do 1.4% przy 500 000;min. 65% inwestycji w Allianz Flexi Asia Bond;max 70% d³u¿ne wysokodochodowe;;Allianz;
194;Allianz Globalny Stabilnego Dochodu (Allianz FIO);FIO;Grzegorz Pra¿mo;1.2016;;;;;;;;;;;2015;200;50;codziennie;59.3;mieszane;20% MSCI World Index;55% Barclays Global Aggregate Total Return Index EUR Hedged;25% WIBID O/N;;;;;;max. 40%;0;2;3;0;;;2.25;2.25;ozn spada do 0.5% przy 500 000;min. 60% papiery d³u¿ne;;Subfundusz Allianz Globalny Stabilnego Dochodu;Allianz;
13;Allianz India Equity (Allianz SFIO);SFIO;Grzegorz Pra¿mo;6.2016;Artur Jusiñski;6.2016;;;;;;;;;2016;500;100;codziennie;10.1;akcji;90% MSCI India Total Return (Net);10% WIBID O/N;;;;;;;;0;2.5;4;0;;;2.77;2.78;ozn spada do 0.75% przy 500 000;min. 65% inwestycji w Allianz India Equity;;Subfundusz Allianz India Equity;Allianz;
11;Allianz Ma³ych Spó³ek Europejskich (Allianz SFIO);SFIO;Grzegorz Pra¿mo;6.2016;Artur Jusiñski;6.2016;;;;;;;;;2016;500;100;codziennie;11.2;akcji;90% MSCI Europe Small Cap Total Return (Net);10% WIBID O/N;;;;;;;;0;2.5;4;0;;;2.84;2.84;ozn spada do 0.75% przy 500 000;min. 65% inwestycji w  Allianz Europe Small Cap Equity;;Subfundusz Allianz Ma³ych Spó³ek Europejskich;Allianz;
195;Allianz Obligacji Globalnych (Allianz FIO);FIO;Grzegorz Pra¿mo;1.2016;;;;;;;;;;;2014;200;50;codziennie;28.7;d³u¿ne;30% Barclays Global Aggregate Corporate TR Hedged EUR;25% Barclays Global Aggregate TR Hedged EUR;15% Markit iBoxx Global Developed Liquid High Yield (EUR Hedged) TR Capped;10% J.P. Morgan EMBIG Hedged Euro;20% WIBID O/N;;;;;;1.5;2;0;;;1.61;1.77;ozn spada do 0.2% przy 500 000;min. 60% w fundusze zagraniczne;;Subfundusz Allianz Obligacji Globalnych;Allianz;
196;Allianz Obligacji Plus (Allianz FIO);FIO;Marek Kuczalski;8.2014;;;;;;;;;;;2004;200;50;codziennie;232;d³u¿ne;100% WIBID 3M;+ 0.5 pb;;;;;;;;;1.5;2;0;;;1.51;1.62;ozn spada do 0.15% przy 500 000;max. 70% w instrumenty d³u¿ne;;subfundusz Allianz Obligacji Plus;Allianz;
197;Allianz Pieniê¿ny (Allianz FIO);FIO;Marek Kuczalski;12.2005;;;;;;;;;;;2005;200;50;codziennie;340.8;pieniê¿ne;100% WIBID 6M;;;;;;;;;;1;0;0;;;1.01;1.11;;max. 70% w inne fundusze;;subfundusz Allianz Pieniê¿ny;Allianz;
198;Allianz Pieniê¿ny Globalny (Allianz SFIO);SFIO;Grzegorz Pra¿mo;12.2017;Artur Jusiñski;12.2017;;;;;;;;;2016;500;100;codziennie;17.8;pieniê¿ne;100% WIBID 6M;;;;;;;;;;1;1.5;0;;;NA;1.11;ozn spada do 0.2% przy 500 000;min. 50% w instrumenty d³u¿ne;;Subfundusz Allianz Pieniê¿ny Globalny;Allianz;Allianz Structured Return
199;Allianz PIMCO Emerging Local Bond (Allianz SFIO);SFIO;Artur Jusiñski;7.2016;Grzegorz Pra¿mo;7.2016;;;;;;;;;2016;500;100;codziennie;48.3;d³u¿ne;90% JPMorgan Government Bond Index-Emerging Markets Global Diversified Index (Unhedged);10% WIBID O/N;;;;;;;;;1.55;2.5;0;;;1.73;1.72;ozn spada do 1.4% przy 500 000;min. 60% w PIMCO Emerging Local Bond;;Allianz SFIO PIMCO Emerging Local Bond;Allianz;
200;Allianz PIMCO Emerging Markets Bond (Allianz SFIO);SFIO;Grzegorz Pra¿mo;7.2016;Artur Jusiñski;7.2016;;;;;;;;;2016;500;100;codziennie;76.7;d³u¿ne;90% JPMorgan EMBI Global (Euro Hedged);10% WIBID O/N;;;;;;;;;1.55;2.5;0;;;1.7;1.7;ozn spada do 1.4% przy 500 000;min. 60% w PIMCO Emerging Markets Bond;;Allianz SFIO PIMCO Emerging Markets Bond;Allianz;
201;Allianz PIMCO Global Bond (Allianz SFIO);SFIO;Artur Jusiñski;7.2016;Grzegorz Pra¿mo;7.2016;;;;;;;;;2016;500;100;codziennie;19;d³u¿ne;90% Barclays Global Aggregate (Euro Hedged) Index;10% WIBID O/N;;;;;;;;;1;2.5;0;;;1.7;1.7;ozn spada do 1.4% przy 500 000;min. 60% w PIMCO Global Bond;;Allianz SFIO PIMCO Global Bond;Allianz;
202;Allianz PIMCO Global High Yield Bond (Allianz SFIO);SFIO;Artur Jusiñski;7.2016;Grzegorz Pra¿mo;7.2016;;;;;;;;;2016;500;100;codziennie;66.7;d³u¿ne;90% BofA Merrill Lynch BB-B Rated Developed Markets High Yield Constrained Index Hedged into EUR;10% WIBID O/N;;;;;;;;;1.55;2.5;0;;;1.41;1.7;ozn spada do 1.4% przy 500 000;min. 60% w PIMCO Global High Yield Bond;;Allianz SFIO PIMCO Global High Yield Bond;Allianz;
203;Allianz PIMCO Global Investment Grade Credit (Allianz SFIO);SFIO;Artur Jusiñski;7.2016;Grzegorz Pra¿mo;7.2016;;;;;;;;;2016;500;100;codziennie;8.6;d³u¿ne; 90% Barclays Global Aggregate Credit Index (EUR Hedged);10% WIBID O/N;;;;;;;;;1;2.5;0;;;1.71;1.72;ozn spada do 1.4% przy 500 000;min. 60% w PIMCO Global Investment Grade Corporate Bond;;Allianz SFIO PIMCO Global Investment Grade Credit;Allianz;
204;Allianz PIMCO Global Low Duration Real Return (Allianz SFIO);SFIO;Grzegorz Pra¿mo;6.2016;Artur Jusiñski;6.2016;;;;;;;;;2016;500;100;codziennie;4.6;d³u¿ne;90% Bloomberg Barclays World Government Inflation-Linked Bond 1-5 yrs Index (EUR Hedged);10% WIBID O/N;;;;;;;;;1;2.5;0;;;1.7;1.69;ozn spada do 1.4% przy 500 000;min. 60% w PIMCO Global Low Duration Real Return;;Subfundusz PIMCO Global Low Duration Real Return;Allianz;
205;Allianz PIMCO Income (Allianz SFIO);SFIO;Grzegorz Pra¿mo;7.2016;Artur Jusiñski;7.2016;;;;;;;;;2016;500;100;codziennie;360.5;d³u¿ne;90% Barclays U.S. Aggregate (Euro Hedged) Index;10% WIBID O/N;;;;;;;;;1.55;2.5;0;;;1.72;1.75;ozn spada do 1.4% przy 500 000;min. 60% w PIMCO Income;;Allianz SFIO PIMCO Income;Allianz;
206;Allianz Polskich Obligacji Skarbowych (Allianz FIO);FIO;Marek Kuczalski;3.2011;;;;;;;;;;;2005;200;50;codziennie;99.4;d³u¿ne;100% Citigroup Poland Government Index;;;;;;;;;;1.5;1.5;0;;;1.65;1.65;ozn spada do 0.2% przy 500 000;min. 70% w instrumenty d³u¿ne;;subfundusz Allianz Polskich Obligacji Skarbowych;Allianz;
12;Allianz Selektywny (Allianz FIO);FIO;Dariusz Kuœmider;7.2016;;;;;;;;;;;2011;200;50;codziennie;96.5;akcji;90%WIG;10% WIBID O/N;;;;;;;70%;96.14;4;4;0;;;4.15;4.16;ozn spada do 0.75% przy 500 000;;;subfundusz Allianz Selektywny;Allianz;
207;Allianz Stabilnego Wzrostu (Allianz FIO);FIO;Dariusz Kuœmider;6.2017;;;;;;;;;;;2004;200;50;codziennie;96.5;mieszane;70% Citigroup Poland Government Index;30%WIG;;;;;;;max. 40%;30.58;3.5;3;0;;;3.53;3.59;ozn spada do 0.5% przy 500 000;;;subfundusz Allianz Stabilnego Wzrostu;Allianz;
208;Allianz Surowców i Energii (Allianz FIO);FIO;Grzegorz Pra¿mo;2.2016;;;;;;;;;;;2014;200;50;;18.8;inne;90% Bloomberg Commodity Index Total Return;10% WIBID O/N;;;;;;;60%;0;3;4;0;;;3.27;3.38;ozn spada do 0.75% przy 500 000;;;Subfundusz Allianz Surowców i Energii;Allianz;
14;Allianz US Equity (Allianz SFIO);SFIO;Grzegorz Pra¿mo;6.2016;Artur Jusiñski;6.2016;;;;;;;;;2016;500;100;codziennie;18.4;akcji;100% Euromoney Global Mining Net Total Return;;;;;;;;;0;2.5;4;0;;;2.72;2.73;;;;;Allianz;Global Metals and Mining
209;Allianz US Short Duration High Income Bond (Allianz SFIO);SFIO;Grzegorz Pra¿mo;6.2016;Artur Jusiñski;6.2016;;;;;;;;;2016;500;100;codziennie;60.9;d³u¿ne;90% Merril Lynch 1-3 Years BB-B US Cash Pay High Yield Index (USD);10% WIBID O/N;;;;;;;;;1.5;2.5;0;;;1.41;1.65;ozn spada do 0.2% przy 500 000;min. 60% w Allianz US Short Duration High Income Bond;;Subfundusz US Short Duration High Income Bond;Allianz;
210;Allianz Zbalansowana Multistrategia (Allianz SFIO);SFIO;Grzegorz Pra¿mo;1.2016;Artur Jusiñski;1.2016;;;;;;;;;2016;500;100;codziennie;4.2;mieszane;45% MSCI World Total Return (Net);45% Barclays Capital Euro-Aggregate Bond Index;10% WIBID O/N;;;;;;;0;2;3.5;0;;;2.18;2.18;ozn spada do 1.4% przy 500 000;min. 65% w Allianz Dynamic Multi Asset Strategy 50;;Subfundusz Allianz Zbalansowana Multistrategia;Allianz;
211;ALTUS Absolutnej Stopy Zwrotu D³u¿ny (FIO Parasolowy);FIO;Witold Chuœæ;9.2012;Piotr Osiecki;9.2012;Andrzej Zydorowicz;9.2012;;;;;;;2012;1000;100;codziennie;498.4;absolutnej stopy zwrotu;100% WIBID 12M x1.5;;;;;;;;max. 30%;0;1.5;2;0;20%;ponad benchmark;3;2.08;ozn spada do 0.2% przy 500 000;;;Altus FIO Parasolowy Subfundusz Absolutnej Stopy Zwrotu D³u¿ny;Altus;
212;ALTUS Absolutnej Stopy Zwrotu Nowej Europy (FIO Parasolowy);FIO;Piotr Osiecki;4.2014;Andrzej Zydorowicz;4.2014;Witold Chuœæ;4.2014;;;;;;;2014;1000;100;codziennie;47.2;absolutnej stopy zwrotu;100% WIBID 12M x2;;;;;;;;20%;41.4;3.6;4;0;20%;ponad benchmark;5.59;4.45;ozn spada do 0.4% przy 500 000;;;Altus FIO Parasolowy Subfundusz Absolutnej Stopy Zwrotu Nowej Europy;Altus;
213;ALTUS Absolutnej Stopy Zwrotu Rynku Polskiego (FIO Parasolowy);FIO;Piotr Osiecki;9.2012;Andrzej Zydorowicz;9.2012;Witold Chuœæ;9.2012;;;;;;;2012;1000;100;codziennie;177.3;absolutnej stopy zwrotu;100% WIBID 12M x2;;;;;;;;20%;55.16;3.6;4;0;20%;ponad benchmark;3.97;4.24;ozn spada do 0.4% przy 500 000;;;Altus FIO Parasolowy Subfundusz Absolutnej Stopy Zwotu Rynku Polskiego;Altus;
15;ALTUS Akcji (FIO Parasolowy);FIO;Piotr Osiecki;9.2012;Andrzej Zydorowicz;9.2012;Witold Chuœæ;9.2012;;;;;;;2012;1000;100;codziennie;42.3;akcji;100% WIG;;;;;;;;70%;72.9;3.6;4;0;20%;ponad benchmark;4.01;4.34;ozn spada do 0.4% przy 500 000;;;Altus FIO Parasolowy Subfundusz Akcji;Altus;
214;ALTUS Aktywnego Zarz¹dzania (FIO Parasolowy);FIO;Witold Chuœæ;3.2013;Piotr Osiecki;3.2013;Andrzej Zydorowicz;3.2013;;;;;;;2013;1000;100;codziennie;10.2;mieszane;50% Merrill Lynch Polish Governments 1-4 Yrs ;50% WIG;;;;;;;max. 70%;38.68;3.25;3;0;20%;ponad benchmark;4.13;4.6;ozn spada do 0.35% przy 500 000;;;Altus FIO Parasolowy Subfundusz Aktywnego Zarz¹dzania;Altus;
215;ALTUS Optymalnego Wzrostu (FIO Parasolowy);FIO;Witold Chuœæ;4.2014;Piotr Osiecki;4.2014;Andrzej Zydorowicz;4.2014;;;;;;;2014;1000;100;codziennie;11.2;absolutnej stopy zwrotu;100% WIBID 12M x1.5;;;;;;;;max. 40%;30.76;2.8;3;0;20%;ponad benchmark;4;4.13;ozn spada do 0.3% przy 500 000;;;Altus FIO Parasolowy Subfundusz Optymalnego Wzrostu;Altus;
216;ALTUS Pieniê¿ny (FIO Parasolowy);FIO;Witold Chuœæ;11.2013;;;;;;;;;;;2013;1000;100;codziennie;217.1;pieniê¿ne;100% WIBID 3M;;;;;;;;;;0.95;0;0;20%;ponad benchmark;1.42;1.23;;;;Altus FIO Parasolowy Subfundusz Pieniê¿ny;Altus;
16;ALTUS Short (FIO Parasolowy);FIO;Piotr Osiecki;9.2012;Witold Chuœæ;9.2012;Andrzej Zydorowicz;9.2012;;;;;;;2012;1000;100;codziennie;12.6;akcji;100% WIG20 short;;;;;;;;max. 20%;;3.6;4;0;20%;ponad benchmark;3.71;5.82;ozn spada do 0.4% przy 500 000;;;Altus FIO Parasolowy Subfundusz Short;Altus;
;ALTUS Stabilnego Wzrostu;FIO;Piotr Osiecki;5.2013;Andrzej Zydorowicz;5.2013;Witold Chuœæ;5.2013;;;;;;;2013;1000;100;codziennie;12.9;mieszane;70% Merrill Lynch Polish Governments 1-4 Yrs;30% WIG;;;;;;;max. 40%;24.6;2.8;3;0;20%;ponad benchmark;3.73;3.72;ozn do 0.3% przy 500 000;;;Altus FIO Parasolowy Subfundusz Stabilnego Wzrostu;Altus;
;ALTUS Superlokator;FIO;Witold Chuœæ;6.2018;;;;;;;;;;;2018;1000;100;codziennie;0;mieszane;100% WIBID 3M;;;;;;;;0;0;0;0;0;;;0;1;;;;Altus FIO Parasolowy Subfundusz Stabilnego Wzrostu;Altus;
17;Amundi Akcji Ma³ych i Œrednich Spó³ek (Amundi Parasolowy FIO);FIO;Rafa³ Bogus³awski;1.2018;Hubert Kmiecik;1.2018;£ukasz Œliwka;1.2018;;;;;;;2014;500;100;codziennie;24.3;akcji;nie ma;;;;;;;;0%;NA;3;5;0;20%;ponad EONIA + 7.5 p.p.;NA;3.56;;;;Amundi Subfundusz Akcji Ma³ych i Œrednich Spó³ek;Amundi;Globalnych Perspektyw Dynamiczny
18;Amundi Akcyjny (Amundi Parasolowy FIO);FIO;;;;;;;;;;;;;2014;500;100;;23.4;akcji;100% WIG;;;;;;;;66%;85.71;3.3;5;0;20%;ponad benchmark;3.89;3.87;;;;Amundi Subfundusz Akcyjny;Amundi;
217;Amundi Globalnych Perspektyw (Amundi Parasolowy FIO);FIO;Rafa³ Bogus³awski;1.2016;Hubert Kmiecik;11.2017;£ukasz Œliwka;3.2017;;;;;;;2016;500;100;codziennie;147.5;mieszane;nie ma;;;;;;;;0;NA;2;5;0;20%;ponad EONIA + 5 p.p.;2.37;2.32;d¹¿y do EONIA + 5 p.p.;;;Amundi Subfundusz Globalnych Perspektyw;Amundi;Globalnych Perspektyw Umiarkowany
218;Amundi Obligacji (Amundi Parasolowy FIO);FIO;Rafa³ Bogus³awski;1.2018;Hubert Kmiecik;1.2018;£ukasz Œliwka;1.2018;;;;;;;2014;500;100;codziennie;57.8;d³u¿ne;nie ma;;;;;;;;0;NA;1;5;0;20%;ponad EONIA + 2.5 p.p.;NA;1.33;;;;Amundi Subfundusz Obligacji;Amundi;Globalnych Perspektyw Konserwatywny
219;Amundi P³ynnoœciowy (Amundi Parasolowy FIO);FIO;Rafa³ Bogus³awski;3.2014;Hubert Kmiecik;11.2017;£ukasz Œliwka;3.2017;;;;;;;2014;500;100;codziennie;896.9;pieniê¿ne;100% WIBOON;;;;;;;;;;0.5;5;0;;;0.52;0.72;;;;Amundi Subfundusz P³ynnoœciowy;Amundi;
